time_to_detection,area_covered_pct,probability_mass_covered,overlap_ratio,battery_used,successful_returns_to_base,forced_low_battery_returns,comms_failures,stale_information_events,path_efficiency,average_overlap_per_step,detection_under_comms_mode,entropy_reduction_over_time,information_gain_per_step,belief_peak_accuracy,time_to_first_candidate_detection,time_to_confirmed_detection,false_alarm_count,reroute_count,coordination_efficiency,return_to_base_efficiency,mission_success,strategy,seed,scenario_family,target_behavior,coordination_mode,drone_count,battery_budget,sensor_mode,steps_completed
12.0,98.49624060150376,0.9886200232867992,0.8480278422273781,53.36608842384328,0,0,14,0,0.8905831759351579,0.19307696606645094,decentralized,2.3104270795551347,0.19553950849764754,1.0798848907052937e-05,6,12.0,0,44,0.46094848490134854,1.0,True,random_sweep,0,layered_demo,terrain_biased,decentralized,4,80.0,thermal_visual,12
21.0,100.0,0.9999999999999999,0.9048640915593705,111.7872196614502,0,0,14,0,0.5932386645063656,0.2272221946848001,decentralized,2.8394279933416837,0.14656672858507763,4.4681005357820966e-05,1,21.0,5,68,0.483931590583951,1.0,True,sector_search,0,layered_demo,terrain_biased,decentralized,4,80.0,thermal_visual,21
,100.0,0.9999999999999999,0.9501872659176029,178.74493020671576,0,2,50,0,0.8552504209221077,0.17611498358700467,decentralized,2.171783234334657,0.09530267966789072,8.247117308033178e-05,1,,7,87,0.42490636704119855,0.0,False,probability_greedy,0,layered_demo,terrain_biased,decentralized,4,80.0,thermal_visual,45
11.0,93.23308270676692,0.986294044330479,0.8544600938967136,50.002747877519866,0,0,14,0,0.8777743494660385,0.3006339512414602,decentralized,1.5100281390491714,0.15361067975523915,3.5692741968148657e-07,1,11.0,2,31,0.4051007801193124,1.0,True,auction_based,0,layered_demo,terrain_biased,decentralized,4,80.0,thermal_visual,11
10.0,92.4812030075188,0.9748714570545761,0.8400520156046815,46.35965244596281,0,0,13,0,0.9141019560192449,0.35030012763611157,decentralized,0.8661762226848371,0.09772023886036055,9.741443439402456e-09,1,10.0,1,25,0.4047860222728473,1.0,True,information_gain,0,layered_demo,terrain_biased,decentralized,4,80.0,thermal_visual,10
8.0,84.9624060150376,0.9372588489519833,0.79491833030853,37.90540746612446,0,0,1,0,0.8309950882314513,0.3115987235713417,centralized,1.347439764674908,0.1684299705843635,3.115866100515051e-07,6,8.0,0,28,0.44105378388499994,1.0,True,random_sweep,0,layered_demo,stationary_intervals,centralized,4,120.0,thermal_visual,8
33.0,100.0,0.9999999999999999,0.9347719470328593,164.64975138824587,0,0,21,6,0.6812793000871855,0.20213811418451258,centralized,1.9103923329858423,0.264104489148554,0.0005538551061861617,11,33.0,3,103,0.4708493206012174,1.0,True,sector_search,0,layered_demo,stationary_intervals,centralized,4,120.0,thermal_visual,33
7.0,77.44360902255639,0.9225667889203478,0.7956349206349206,33.34641187822545,0,0,2,1,0.991297400009802,0.35679676623500395,centralized,0.9992355919048901,0.14274794170069857,1.6837391735531885e-08,5,7.0,0,18,0.3516186299081036,1.0,True,probability_greedy,0,layered_demo,stationary_intervals,centralized,4,120.0,thermal_visual,7
,100.0,0.9999999999999999,0.9520893371757925,198.21210428597752,0,0,16,1,0.7770414344574749,0.30853483555824013,centralized,1.113154494439745,0.12506269495705344,0.000874606543794839,5,,3,124,0.4891727227164515,1.0,False,auction_based,0,layered_demo,stationary_intervals,centralized,4,120.0,thermal_visual,45
,100.0,0.9999999999999999,0.9520720720720721,184.04416748484084,0,0,12,1,0.8647554200918323,0.16344718043131695,centralized,0.7877819186915875,0.1468822433371855,0.0006707768828128337,5,,4,125,0.4978770074422248,1.0,False,information_gain,0,layered_demo,stationary_intervals,centralized,4,120.0,thermal_visual,45
8.0,84.9624060150376,0.9372588489519833,0.79491833030853,37.90540746612446,0,0,1,0,0.8309950882314513,0.3115987235713417,centralized,1.347439764674908,0.1684299705843635,3.115866100515051e-07,6,8.0,0,28,0.44105378388499994,1.0,True,random_sweep,0,layered_demo,stationary_intervals,centralized,4,80.0,thermal_visual,8
,100.0,0.9999999999999999,0.952054794520548,196.3560835495009,2,3,23,7,0.7623992114902164,0.18676328243251877,centralized,2.0169368665766503,0.20469647509647765,0.1949783331791003,11,,4,107,0.473972602739726,0.6666666666666666,False,sector_search,0,layered_demo,stationary_intervals,centralized,4,80.0,thermal_visual,45
7.0,77.44360902255639,0.9225667889203478,0.7956349206349206,33.34641187822545,0,0,2,1,0.991297400009802,0.35679676623500395,centralized,0.9992355919048901,0.14274794170069857,1.6837391735531885e-08,5,7.0,0,18,0.3516186299081036,1.0,True,probability_greedy,0,layered_demo,stationary_intervals,centralized,4,80.0,thermal_visual,7
,100.0,0.9999999999999999,0.952567760342368,201.3307008080568,1,2,16,1,0.7794902040669796,0.302611678101156,centralized,1.4284687130752012,0.12371222401476716,0.000581481756076186,5,,3,116,0.48893351113316386,0.5,False,auction_based,0,layered_demo,stationary_intervals,centralized,4,80.0,thermal_visual,45
,100.0,0.9999999999999999,0.9549457994579946,187.40893867183652,0,2,13,1,0.8325975487541099,0.1891224079359066,centralized,1.4978382569839113,0.17118909253125433,5.070422598204248e-06,5,,4,123,0.4942662307057853,0.0,False,information_gain,0,layered_demo,stationary_intervals,centralized,4,80.0,thermal_visual,45
,100.0,0.9999999999999999,0.9590895109197171,202.57655194467824,0,0,43,0,0.8593115662516567,0.19305443272283632,decentralized,2.2724539823437717,0.09308479086524889,2.530871509511748e-11,6,,1,174,0.42697698367057624,1.0,False,random_sweep,0,layered_demo,stationary_intervals,decentralized,4,120.0,thermal_visual,45
29.0,100.0,0.9999999999999999,0.9294429708222812,148.09790455500317,0,0,21,0,0.6771536600243535,0.21439126712765913,decentralized,1.4618205541622702,0.12298910543208344,0.0003250613054234277,22,29.0,1,93,0.46527851458885944,1.0,True,sector_search,0,layered_demo,stationary_intervals,decentralized,4,120.0,thermal_visual,29
7.0,83.45864661654136,0.9387516800897647,0.7996389891696751,32.09388879641256,0,0,8,0,0.9366112958308178,0.3450541150511713,decentralized,1.0169220990137013,0.14882329340581713,2.3139570389535253e-06,4,7.0,0,18,0.334766971580576,1.0,True,probability_greedy,0,layered_demo,stationary_intervals,decentralized,4,120.0,thermal_visual,7
7.0,83.45864661654136,0.9387516800897647,0.7981818181818182,31.99964258438797,0,0,8,0,0.9455967761178943,0.36401530134077503,decentralized,0.8792114022431523,0.12915033672431012,2.0333197066894664e-06,4,7.0,0,20,0.3354955570745044,1.0,True,auction_based,0,layered_demo,stationary_intervals,decentralized,4,120.0,thermal_visual,7
31.0,100.0,0.9999999999999999,0.9398190045248869,142.866035867066,0,0,26,0,0.9047681013676766,0.2525403342117297,decentralized,1.8155238086426095,0.10589124245557986,0.004980450115751076,4,31.0,2,82,0.4488404977375566,1.0,True,information_gain,0,layered_demo,stationary_intervals,decentralized,4,120.0,thermal_visual,31
41.0,100.0,0.9999999999999999,0.9546229955646537,184.10089881757372,1,2,38,0,0.8666429146866165,0.16942324689846538,decentralized,1.87958688275305,0.10509299976749249,2.493015734853275e-07,6,41.0,1,150,0.43221231174148267,0.5,True,random_sweep,0,layered_demo,stationary_intervals,decentralized,4,80.0,thermal_visual,41
29.0,100.0,0.9999999999999999,0.9294429708222812,148.09790455500314,0,0,21,0,0.6771536600243535,0.21439126712765913,decentralized,1.4618205541622702,0.12298910543208344,0.0003250613054234277,22,29.0,1,93,0.46527851458885944,1.0,True,sector_search,0,layered_demo,stationary_intervals,decentralized,4,80.0,thermal_visual,29
7.0,83.45864661654136,0.9387516800897647,0.7996389891696751,32.09388879641256,0,0,8,0,0.9366112958308178,0.3450541150511713,decentralized,1.0169220990137013,0.14882329340581713,2.3139570389535253e-06,4,7.0,0,18,0.334766971580576,1.0,True,probability_greedy,0,layered_demo,stationary_intervals,decentralized,4,80.0,thermal_visual,7
7.0,83.45864661654136,0.9387516800897647,0.7981818181818182,31.99964258438797,0,0,8,0,0.9455967761178943,0.36401530134077503,decentralized,0.8792114022431523,0.12915033672431012,2.0333197066894664e-06,4,7.0,0,20,0.3354955570745044,1.0,True,auction_based,0,layered_demo,stationary_intervals,decentralized,4,80.0,thermal_visual,7
44.0,100.0,0.9999999999999999,0.9573991031390134,198.6709893758234,1,4,32,0,0.861834849952499,0.20873495301216954,decentralized,2.0353681933449037,0.11615282192889559,1.6789069472576658e-06,4,44.0,5,104,0.45018933731938215,0.25,True,information_gain,0,layered_demo,stationary_intervals,decentralized,4,80.0,thermal_visual,44
